 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
64,CH2_XY17:0105-0316-0433:stiched_Image_T0063_CH2_XY17,89.608,49.721,2.696,0.951,0,11.187,9.225,4455.411,19546373.000,64,0.951
65,CH2_XY17:0105-0316-0433:stiched_Image_T0064_CH2_XY17,89.608,49.337,2.730,0.951,0,11.187,9.225,4420.978,19395313.000,65,0.966
66,CH2_XY17:0105-0316-0433:stiched_Image_T0065_CH2_XY17,89.608,50.016,2.800,0.951,0,11.187,9.225,4481.854,19662381.000,66,0.981
67,CH2_XY17:0105-0316-0433:stiched_Image_T0066_CH2_XY17,89.608,49.749,2.790,0.951,0,11.187,9.225,4457.875,19557185.000,67,0.996
68,CH2_XY17:0105-0316-0433:stiched_Image_T0067_CH2_XY17,89.608,50.483,2.858,0.951,0,11.187,9.225,4523.715,19846030.000,68,1.012
69,CH2_XY17:0105-0316-0433:stiched_Image_T0068_CH2_XY17,89.608,50.318,2.892,0.951,0,11.187,9.225,4508.921,19781126.000,69,1.027
70,CH2_XY17:0105-0316-0433:stiched_Image_T0069_CH2_XY17,89.608,51.085,3.028,0.951,0,11.187,9.225,4577.659,20082687.000,70,1.042
71,CH2_XY17:0105-0316-0433:stiched_Image_T0070_CH2_XY17,89.608,50.483,3.049,0.951,0,11.187,9.225,4523.716,19846035.000,71,1.057
72,CH2_XY17:0105-0316-0433:stiched_Image_T0071_CH2_XY17,89.608,51.057,3.128,0.951,0,11.187,9.225,4575.145,20071659.000,72,1.072
73,CH2_XY17:0105-0316-0433:stiched_Image_T0072_CH2_XY17,89.608,51.323,3.166,0.951,0,11.187,9.225,4598.919,20175959.000,73,1.087
74,CH2_XY17:0105-0316-0433:stiched_Image_T0073_CH2_XY17,89.608,51.252,3.220,0.951,0,11.187,9.225,4592.619,20148321.000,74,1.102
75,CH2_XY17:0105-0316-0433:stiched_Image_T0074_CH2_XY17,89.608,51.524,3.245,0.951,0,11.187,9.225,4616.963,20255119.000,75,1.117
76,CH2_XY17:0105-0316-0433:stiched_Image_T0075_CH2_XY17,89.608,51.394,3.269,0.951,0,11.187,9.225,4605.282,20203873.000,76,1.132
77,CH2_XY17:0105-0316-0433:stiched_Image_T0076_CH2_XY17,89.608,51.977,3.314,0.951,0,11.187,9.225,4657.537,20433122.000,77,1.147
78,CH2_XY17:0105-0316-0433:stiched_Image_T0077_CH2_XY17,89.608,51.326,3.272,0.951,0,11.187,9.225,4599.217,20177267.000,78,1.163
79,CH2_XY17:0105-0316-0433:stiched_Image_T0078_CH2_XY17,89.608,51.350,3.315,0.951,0,11.187,9.225,4601.413,20186899.000,79,1.178
80,CH2_XY17:0105-0316-0433:stiched_Image_T0079_CH2_XY17,89.608,49.559,3.177,0.951,0,11.187,9.225,4440.933,19482856.000,80,1.193
81,CH2_XY17:0105-0316-0433:stiched_Image_T0080_CH2_XY17,89.608,50.197,3.251,0.951,0,11.187,9.225,4498.048,19733425.000,81,1.208
82,CH2_XY17:0105-0316-0433:stiched_Image_T0081_CH2_XY17,89.608,51.101,3.297,0.951,0,11.187,9.225,4579.055,20088815.000,82,1.223
83,CH2_XY17:0105-0316-0433:stiched_Image_T0082_CH2_XY17,89.608,50.860,3.329,0.951,0,11.187,9.225,4557.494,19994222.000,83,1.238
84,CH2_XY17:0105-0316-0433:stiched_Image_T0083_CH2_XY17,89.608,50.247,3.282,0.951,0,11.187,9.225,4502.527,19753078.000,84,1.253
85,CH2_XY17:0105-0316-0433:stiched_Image_T0084_CH2_XY17,89.608,51.554,3.365,0.951,0,11.187,9.225,4619.687,20267069.000,85,1.268
86,CH2_XY17:0105-0316-0433:stiched_Image_T0085_CH2_XY17,89.608,51.520,3.404,0.951,0,11.187,9.225,4616.634,20253677.000,86,1.283
87,CH2_XY17:0105-0316-0433:stiched_Image_T0086_CH2_XY17,89.608,49.523,3.244,0.951,0,11.187,9.225,4437.672,19468551.000,87,1.298
88,CH2_XY17:0105-0316-0433:stiched_Image_T0087_CH2_XY17,89.608,50.495,3.358,0.951,0,11.187,9.225,4524.805,19850814.000,88,1.313
